ID,category,xsection,kfactor,efficiency,name,group,subgroup
147116,Background,15.673,1.18,1.0,AlpgenPythia_Auto_P2011C_ZmumuNp3,Z+jets,mumu
147117,Background,4.0057,1.18,1.0,AlpgenPythia_Auto_P2011C_ZmumuNp4,Z+jets,mumu
147118,Background,1.2544,1.18,1.0,AlpgenPythia_Auto_P2011C_ZmumuNp5incl,Z+jets,mumu
147121,Background,718.87,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautauNp0,Z+jets,tautau
147122,Background,175.76,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautauNp1,Z+jets,tautau
147123,Background,58.856,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautauNp2,Z+jets,tautau
147124,Background,15.667,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautauNp3,Z+jets,tautau
147125,Background,4.0121,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautauNp4,Z+jets,tautau
147126,Background,1.2560,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautauNp5incl,Z+jets,tautau
178354,Background,592.95,1.0,1.0,AlpgenPythia_P2011C_ZeeNp0Excl_Mll10to40_2LeptonFilter5,DYZ+jets,ee
178355,Background,43.317,1.0,1.0,AlpgenPythia_P2011C_ZeeNp1Excl_Mll10to40_2LeptonFilter5,DYZ+jets,ee
178356,Background,21.113,1.0,1.0,AlpgenPythia_P2011C_ZeeNp2Excl_Mll10to40_2LeptonFilter5,DYZ+jets,ee
178357,Background,4.8806,1.0,1.0,AlpgenPythia_P2011C_ZeeNp3Excl_Mll10to40_2LeptonFilter5,DYZ+jets,ee
178358,Background,1.5561,1.0,1.0,AlpgenPythia_P2011C_ZeeNp4Incl_Mll10to40_2LeptonFilter5,DYZ+jets,ee
178359,Background,615.63,1.0,1.0,AlpgenPythia_P2011C_ZmumuNp0Excl_Mll10to40_2LeptonFilter5,DYZ+jets,mumu
178360,Background,44.104,1.0,1.0,AlpgenPythia_P2011C_ZmumuNp1Excl_Mll10to40_2LeptonFilter5,DYZ+jets,mumu
178361,Background,21.551,1.0,1.0,AlpgenPythia_P2011C_ZmumuNp2Excl_Mll10to40_2LeptonFilter5,DYZ+jets,mumu
178362,Background,4.9449,1.0,1.0,AlpgenPythia_P2011C_ZmumuNp3Excl_Mll10to40_2LeptonFilter5,DYZ+jets,mumu
178363,Background,1.5711,1.0,1.0,AlpgenPythia_P2011C_ZmumuNp4Incl_Mll10to40_2LeptonFilter5,DYZ+jets,mumu
178364,Background,16.721,1.0,1.0,AlpgenPythia_P2011C_ZtautauNp0Excl_Mll10to40_2LeptonFilter5,DYZ+jets,tautau
178365,Background,7.1698,1.0,1.0,AlpgenPythia_P2011C_ZtautauNp1Excl_Mll10to40_2LeptonFilter5,DYZ+jets,tautau
178366,Background,3.3871,1.0,1.0,AlpgenPythia_P2011C_ZtautauNp2Excl_Mll10to40_2LeptonFilter5,DYZ+jets,tautau
178367,Background,1.1250,1.0,1.0,AlpgenPythia_P2011C_ZtautauNp3Excl_Mll10to40_2LeptonFilter5,DYZ+jets,tautau
178368,Background,0.44867,1.0,1.0,AlpgenPythia_P2011C_ZtautauNp4Incl_Mll10to40_2LeptonFilter5,DYZ+jets,tautau
178369,Background,66.401,1.0,0.46394,AlpgenPythia_P2011C_ZeeNp0Excl_Mll40to60_2LeptonFilter5,DYZ+jets,ee
178370,Background,9.3068,1.0,0.57860,AlpgenPythia_P2011C_ZeeNp1Excl_Mll40to60_2LeptonFilter5,DYZ+jets,ee
178371,Background,3.2293,1.0,0.58860,AlpgenPythia_P2011C_ZeeNp2Excl_Mll40to60_2LeptonFilter5,DYZ+jets,ee
178372,Background,0.77993,1.0,0.61887,AlpgenPythia_P2011C_ZeeNp3Excl_Mll40to60_2LeptonFilter5,DYZ+jets,ee
178373,Background,0.25091,1.0,0.63944,AlpgenPythia_P2011C_ZeeNp4Incl_Mll40to60_2LeptonFilter5,DYZ+jets,ee
