ID,category,xsection,kfactor,efficiency,name,group,subgroup
,Data,,,,physics_Main,Data,physics_Main
410000,Background,696.12,1.1949,0.543,PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad,tops,ttbar
410011,Background,43.739,1.0,1.0,PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top,tops,singlet
410012,Background,25.778,1.0,1.0,PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop,tops,singlet
410013,Background,34.009,1.0,1.0,PowhegPythiaEvtGen_P2012_Wt_inclusive_top,tops,tW
410014,Background,33.989,1.0,1.0,PowhegPythiaEvtGen_P2012_Wt_inclusive_antitop,tops,tW
410015,Background,3.5835,1.0,1.0,PowhegPythiaEvtGen_P2012_Wt_dilepton_top,tops,tWdilep
410016,Background,3.5814,1.0,1.0,PowhegPythiaEvtGen_P2012_Wt_dilepton_antitop,tops,tWdilep
361068,Background,14.022,1.0,1.0,Sherpa_CT10_llvv,Diboson,EWllnunu
361069,Background,0.025765,1.0,1.0,Sherpa_CT10_llvvjj_ss_EW4,Diboson,QCDllssnunujj
361070,Background,0.043375,1.0,1.0,Sherpa_CT10_llvvjj_ss_EW6,Diboson,EWllssnunujj
361071,Background,0.042017,1.0,1.0,Sherpa_CT10_lllvjj_EW6,Diboson,EWlllnujj
361073,Background,0.02095,1.0,1.0,Sherpa_CT10_ggllll,Diboson,ggllll
361081,Background,25.995,1.0,1.0,Sherpa_CT10_WplvWmqq,Diboson,WW
361082,Background,25.974,1.0,1.0169,Sherpa_CT10_WpqqWmlv,Diboson,WW
361083,Background,12.543,1.0,1.0,Sherpa_CT10_WlvZqq,Diboson,WZ
361084,Background,3.7583,1.0,1.0,Sherpa_CT10_WqqZll,Diboson,WZ
361085,Background,7.4151,1.0,1.0,Sherpa_CT10_WqqZvv,Diboson,WZ
361086,Background,16.59,1.0,0.14253,Sherpa_CT10_ZqqZll,Diboson,ZZ
361087,Background,16.492,1.0,0.28096,Sherpa_CT10_ZqqZvv,Diboson,ZZ
361600,Background,10.631,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WWlvlv,PowhegDiboson,WW
361601,Background,4.4625,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WZlvll_mll4,PowhegDiboson,WZ
361604,Background,0.92498,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZvvll_mll4,PowhegDiboson,ZZ
361610,Background,2.2739,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZqqll_mqq20mll20,PowhegDiboson,ZZ
361106,Background,1901.2,1.026,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee,Z+jets,ee
361107,Background,1901.2,1.026,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu,Z+jets,mumu
361108,Background,1901.2,1.026,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau,Z+jets,tautau
