ID,category,xsection,kfactor,efficiency,name,group,subgroup
361103,Background,8282.6,1.0358,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusenu,PowhegPythiaW+jets,Wminusenu
361104,Background,8282.6,1.0358,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminusmunu,PowhegPythiaW+jets,Wminusmunu
361105,Background,8282.6,1.0358,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminustaunu,PowhegPythiaW+jets,Wminustaunu
361106,Background,1901.2,1.026,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee,Z+jets,ee
361107,Background,1901.2,1.026,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu,Z+jets,mumu
361108,Background,1901.2,1.026,1.0,PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau,Z+jets,tautau
361300,Background,21282.0,0.890724,0.90824,Sherpa_CT10_Wenu_Pt0_70_CVetoBVeto,W+jetsCVetoBVeto,enu
361301,Background,21380.0,0.049290,0.90824,Sherpa_CT10_Wenu_Pt0_70_CFilterBVeto,W+jetsCFilterBVeto,enu
361302,Background,21387.0,0.059786,0.90824,Sherpa_CT10_Wenu_Pt0_70_BFilter,W+jetsBFilter,enu
361303,Background,633.43,0.728829,0.90824,Sherpa_CT10_Wenu_Pt70_140_CVetoBVeto,W+jetsCVetoBVeto,enu
361304,Background,631.29,0.176811,0.90824,Sherpa_CT10_Wenu_Pt70_140_CFilterBVeto,W+jetsCFilterBVeto,enu
361305,Background,626.26,0.096681,0.90824,Sherpa_CT10_Wenu_Pt70_140_BFilter,W+jetsBFilter,enu
361306,Background,90.131,0.681554,0.90824,Sherpa_CT10_Wenu_Pt140_280_CVetoBVeto,W+jetsCVetoBVeto,enu
361307,Background,89.902,0.205907,0.90824,Sherpa_CT10_Wenu_Pt140_280_CFilterBVeto,W+jetsCFilterBVeto,enu
361308,Background,90.042,0.112284,0.90824,Sherpa_CT10_Wenu_Pt140_280_BFilter,W+jetsBFilter,enu
361309,Background,6.5313,0.652724,0.90824,Sherpa_CT10_Wenu_Pt280_500_CVetoBVeto,W+jetsCVetoBVeto,enu
361310,Background,6.5434,0.221526,0.90824,Sherpa_CT10_Wenu_Pt280_500_CFilterBVeto,W+jetsCFilterBVeto,enu
361311,Background,6.5128,0.130994,0.90824,Sherpa_CT10_Wenu_Pt280_500_BFilter,W+jetsBFilter,enu
361312,Background,0.41774,0.631749,0.90824,Sherpa_CT10_Wenu_Pt500_700_CVetoBVeto,W+jetsCVetoBVeto,enu
361313,Background,0.40599,0.243561,0.90824,Sherpa_CT10_Wenu_Pt500_700_CFilterBVeto,W+jetsCFilterBVeto,enu
361314,Background,0.41765,0.155229,0.90824,Sherpa_CT10_Wenu_Pt500_700_BFilter,W+jetsBFilter,enu
361315,Background,0.073374,0.609620,0.90824,Sherpa_CT10_Wenu_Pt700_1000_CVetoBVeto,W+jetsCVetoBVeto,enu
361316,Background,0.082396,0.202801,0.90824,Sherpa_CT10_Wenu_Pt700_1000_CFilterBVeto,W+jetsCFilterBVeto,enu
361317,Background,0.079036,0.168701,0.90824,Sherpa_CT10_Wenu_Pt700_1000_BFilter,W+jetsBFilter,enu
361318,Background,0.011153,0.629245,0.90824,Sherpa_CT10_Wenu_Pt1000_2000_CVetoBVeto,W+jetsCVetoBVeto,enu
361319,Background,0.010415,0.237991,0.90824,Sherpa_CT10_Wenu_Pt1000_2000_CFilterBVeto,W+jetsCFilterBVeto,enu
361320,Background,0.010159,0.173096,0.90824,Sherpa_CT10_Wenu_Pt1000_2000_BFilter,W+jetsBFilter,enu
361321,Background,-2.0776e-06,0.638441,0.90824,Sherpa_CT10_Wenu_Pt2000_E_CMS_CVetoBVeto,W+jetsCVetoBVeto,enu
361322,Background,4.5592e-05,0.272781,0.90824,Sherpa_CT10_Wenu_Pt2000_E_CMS_CFilterBVeto,W+jetsCFilterBVeto,enu
361323,Background,5.5898e-05,0.165186,0.90824,Sherpa_CT10_Wenu_Pt2000_E_CMS_BFilter,W+jetsBFilter,enu
361324,Background,21392.0,0.892510,0.90824,Sherpa_CT10_Wmunu_Pt0_70_CVetoBVeto,W+jetsCVetoBVeto,munu
361325,Background,21380.0,0.047370,0.90824,Sherpa_CT10_Wmunu_Pt0_70_CFilterBVeto,W+jetsCFilterBVeto,munu
361326,Background,21371.0,0.059710,0.90824,Sherpa_CT10_Wmunu_Pt0_70_BFilter,W+jetsBFilter,munu
361327,Background,634.61,0.728418,0.90824,Sherpa_CT10_Wmunu_Pt70_140_CVetoBVeto,W+jetsCVetoBVeto,munu
361328,Background,631.72,0.175047,0.90824,Sherpa_CT10_Wmunu_Pt70_140_CFilterBVeto,W+jetsCFilterBVeto,munu
361329,Background,632.54,0.096687,0.90824,Sherpa_CT10_Wmunu_Pt70_140_BFilter,W+jetsBFilter,munu
361330,Background,89.788,0.684150,0.90824,Sherpa_CT10_Wmunu_Pt140_280_CVetoBVeto,W+jetsCVetoBVeto,munu
361331,Background,90.096,0.203512,0.90824,Sherpa_CT10_Wmunu_Pt140_280_CFilterBVeto,W+jetsCFilterBVeto,munu
361332,Background,90.322,0.112541,0.90824,Sherpa_CT10_Wmunu_Pt140_280_BFilter,W+jetsBFilter,munu
361333,Background,6.5147,0.653631,0.90824,Sherpa_CT10_Wmunu_Pt280_500_CVetoBVeto,W+jetsCVetoBVeto,munu
361334,Background,6.4669,0.222520,0.90824,Sherpa_CT10_Wmunu_Pt280_500_CFilterBVeto,W+jetsCFilterBVeto,munu
361335,Background,6.5767,0.130709,0.90824,Sherpa_CT10_Wmunu_Pt280_500_BFilter,W+jetsBFilter,munu
361336,Background,0.40872,0.631109,0.90824,Sherpa_CT10_Wmunu_Pt500_700_CVetoBVeto,W+jetsCVetoBVeto,munu
361337,Background,0.42067,0.239840,0.90824,Sherpa_CT10_Wmunu_Pt500_700_CFilterBVeto,W+jetsCFilterBVeto,munu
361338,Background,0.42374,0.163529,0.90824,Sherpa_CT10_Wmunu_Pt500_700_BFilter,W+jetsBFilter,munu
361339,Background,0.076219,0.632602,0.90824,Sherpa_CT10_Wmunu_Pt700_1000_CVetoBVeto,W+jetsCVetoBVeto,munu
361340,Background,0.076663,0.227699,0.90824,Sherpa_CT10_Wmunu_Pt700_1000_CFilterBVeto,W+jetsCFilterBVeto,munu
361341,Background,0.081099,0.160140,0.90824,Sherpa_CT10_Wmunu_Pt700_1000_BFilter,W+jetsBFilter,munu
361342,Background,0.010488,0.597890,0.90824,Sherpa_CT10_Wmunu_Pt1000_2000_CVetoBVeto,W+jetsCVetoBVeto,munu
361343,Background,0.0096847,0.236425,0.90824,Sherpa_CT10_Wmunu_Pt1000_2000_CFilterBVeto,W+jetsCFilterBVeto,munu
361344,Background,0.010382,0.159623,0.90824,Sherpa_CT10_Wmunu_Pt1000_2000_BFilter,W+jetsBFilter,munu
361345,Background,4.1826e-05,0.617928,0.90824,Sherpa_CT10_Wmunu_Pt2000_E_CMS_CVetoBVeto,W+jetsCVetoBVeto,munu
361346,Background,5.2097e-05,0.267917,0.90824,Sherpa_CT10_Wmunu_Pt2000_E_CMS_CFilterBVeto,W+jetsCFilterBVeto,munu
361347,Background,7.9217e-06,0.192802,0.90824,Sherpa_CT10_Wmunu_Pt2000_E_CMS_BFilter,W+jetsBFilter,munu
361348,Background,21386.0,0.891411,0.90824,Sherpa_CT10_Wtaunu_Pt0_70_CVetoBVeto,W+jetsCVetoBVeto,taunu
361349,Background,21378.0,0.048706,0.90824,Sherpa_CT10_Wtaunu_Pt0_70_CFilterBVeto,W+jetsCFilterBVeto,taunu
361350,Background,21386.0,0.059683,0.90824,Sherpa_CT10_Wtaunu_Pt0_70_BFilter,W+jetsBFilter,taunu
361351,Background,631.53,0.726079,0.90824,Sherpa_CT10_Wtaunu_Pt70_140_CVetoBVeto,W+jetsCVetoBVeto,taunu
361352,Background,634.44,0.176273,0.90824,Sherpa_CT10_Wtaunu_Pt70_140_CFilterBVeto,W+jetsCFilterBVeto,taunu
361353,Background,631.2,0.095733,0.90824,Sherpa_CT10_Wtaunu_Pt70_140_BFilter,W+jetsBFilter,taunu
361354,Background,90.227,0.683964,0.90824,Sherpa_CT10_Wtaunu_Pt140_280_CVetoBVeto,W+jetsCVetoBVeto,taunu
361355,Background,89.983,0.204983,0.90824,Sherpa_CT10_Wtaunu_Pt140_280_CFilterBVeto,W+jetsCFilterBVeto,taunu
361356,Background,89.974,0.113070,0.90824,Sherpa_CT10_Wtaunu_Pt140_280_BFilter,W+jetsBFilter,taunu
361357,Background,6.4488,0.647441,0.90824,Sherpa_CT10_Wtaunu_Pt280_500_CVetoBVeto,W+jetsCVetoBVeto,taunu
361358,Background,6.5992,0.218875,0.90824,Sherpa_CT10_Wtaunu_Pt280_500_CFilterBVeto,W+jetsCFilterBVeto,taunu
361359,Background,6.4523,0.132548,0.90824,Sherpa_CT10_Wtaunu_Pt280_500_BFilter,W+jetsBFilter,taunu
361360,Background,0.41485,0.628862,0.90824,Sherpa_CT10_Wtaunu_Pt500_700_CVetoBVeto,W+jetsCVetoBVeto,taunu
361361,Background,0.41469,0.230541,0.90824,Sherpa_CT10_Wtaunu_Pt500_700_CFilterBVeto,W+jetsCFilterBVeto,taunu
361362,Background,0.40957,0.159453,0.90824,Sherpa_CT10_Wtaunu_Pt500_700_BFilter,W+jetsBFilter,taunu
361363,Background,0.07929,0.627393,0.90824,Sherpa_CT10_Wtaunu_Pt700_1000_CVetoBVeto,W+jetsCVetoBVeto,taunu
361364,Background,0.07821,0.220035,0.90824,Sherpa_CT10_Wtaunu_Pt700_1000_CFilterBVeto,W+jetsCFilterBVeto,taunu
361365,Background,0.080632,0.155527,0.90824,Sherpa_CT10_Wtaunu_Pt700_1000_BFilter,W+jetsBFilter,taunu
361366,Background,0.010483,0.607110,0.90824,Sherpa_CT10_Wtaunu_Pt1000_2000_CVetoBVeto,W+jetsCVetoBVeto,taunu
361367,Background,0.010108,0.237999,0.90824,Sherpa_CT10_Wtaunu_Pt1000_2000_CFilterBVeto,W+jetsCFilterBVeto,taunu
361368,Background,0.010536,0.175976,0.90824,Sherpa_CT10_Wtaunu_Pt1000_2000_BFilter,W+jetsBFilter,taunu
361369,Background,4.5746e-05,0.545399,0.90824,Sherpa_CT10_Wtaunu_Pt2000_E_CMS_CVetoBVeto,W+jetsCVetoBVeto,taunu
361370,Background,4.9643e-05,0.242272,0.90824,Sherpa_CT10_Wtaunu_Pt2000_E_CMS_CFilterBVeto,W+jetsCFilterBVeto,taunu
361371,Background,4.8667e-05,0.196031,0.90824,Sherpa_CT10_Wtaunu_Pt2000_E_CMS_BFilter,W+jetsBFilter,taunu
361372,Background,2206.7,0.778989,0.9013,Sherpa_CT10_Zee_Pt0_70_CVetoBVeto,Z+jetsCVetoBVeto,ee
361373,Background,2205.8,0.142259,0.9013,Sherpa_CT10_Zee_Pt0_70_CFilterBVeto,Z+jetsCFilterBVeto,ee
361374,Background,2204.8,0.079669,0.9013,Sherpa_CT10_Zee_Pt0_70_BFilter,Z+jetsBFilter,ee
361375,Background,75.673,0.646932,0.9013,Sherpa_CT10_Zee_Pt70_140_CVetoBVeto,Z+jetsCVetoBVeto,ee
361376,Background,75.87,0.218226,0.9013,Sherpa_CT10_Zee_Pt70_140_CFilterBVeto,Z+jetsCFilterBVeto,ee
361377,Background,76.416,0.131146,0.9013,Sherpa_CT10_Zee_Pt70_140_BFilter,Z+jetsBFilter,ee
361378,Background,11.755,0.617229,0.9013,Sherpa_CT10_Zee_Pt140_280_CVetoBVeto,Z+jetsCVetoBVeto,ee
361379,Background,11.508,0.244908,0.9013,Sherpa_CT10_Zee_Pt140_280_CFilterBVeto,Z+jetsCFilterBVeto,ee
361380,Background,11.661,0.150367,0.9013,Sherpa_CT10_Zee_Pt140_280_BFilter,Z+jetsBFilter,ee
361381,Background,0.78842,0.588874,0.9013,Sherpa_CT10_Zee_Pt280_500_CVetoBVeto,Z+jetsCVetoBVeto,ee
361382,Background,0.84681,0.261732,0.9013,Sherpa_CT10_Zee_Pt280_500_CFilterBVeto,Z+jetsCFilterBVeto,ee
361383,Background,0.86361,0.156212,0.9013,Sherpa_CT10_Zee_Pt280_500_BFilter,Z+jetsBFilter,ee
361384,Background,0.051808,0.577255,0.9013,Sherpa_CT10_Zee_Pt500_700_CVetoBVeto,Z+jetsCVetoBVeto,ee
361385,Background,0.053763,0.271427,0.9013,Sherpa_CT10_Zee_Pt500_700_CFilterBVeto,Z+jetsCFilterBVeto,ee
361386,Background,0.056362,0.168468,0.9013,Sherpa_CT10_Zee_Pt500_700_BFilter,Z+jetsBFilter,ee
361387,Background,0.010377,0.566055,0.9013,Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto,Z+jetsCVetoBVeto,ee
361388,Background,0.010064,0.300167,0.9013,Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto,Z+jetsCFilterBVeto,ee
361389,Background,0.010301,0.182922,0.9013,Sherpa_CT10_Zee_Pt700_1000_BFilter,Z+jetsBFilter,ee
361390,Background,0.001356,0.536884,0.9013,Sherpa_CT10_Zee_Pt1000_2000_CVetoBVeto,Z+jetsCVetoBVeto,ee
361391,Background,0.0014825,0.309836,0.9013,Sherpa_CT10_Zee_Pt1000_2000_CFilterBVeto,Z+jetsCFilterBVeto,ee
361392,Background,0.0013407,0.191868,0.9013,Sherpa_CT10_Zee_Pt1000_2000_BFilter,Z+jetsBFilter,ee
361393,Background,6.1317e-06,0.519728,0.9013,Sherpa_CT10_Zee_Pt2000_E_CMS_CVetoBVeto,Z+jetsCVetoBVeto,ee
361394,Background,7.7689e-06,0.393222,0.9013,Sherpa_CT10_Zee_Pt2000_E_CMS_CFilterBVeto,Z+jetsCFilterBVeto,ee
361395,Background,9.3603e-06,0.222083,0.9013,Sherpa_CT10_Zee_Pt2000_E_CMS_BFilter,Z+jetsBFilter,ee
361396,Background,2205.7,0.778381,0.9013,Sherpa_CT10_Zmumu_Pt0_70_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361397,Background,2205.5,0.141881,0.9013,Sherpa_CT10_Zmumu_Pt0_70_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361398,Background,2202.8,0.079624,0.9013,Sherpa_CT10_Zmumu_Pt0_70_BFilter,Z+jetsBFilter,mumu
361399,Background,75.889,0.649106,0.9013,Sherpa_CT10_Zmumu_Pt70_140_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361400,Background,76.179,0.219295,0.9013,Sherpa_CT10_Zmumu_Pt70_140_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361401,Background,75.957,0.130293,0.9013,Sherpa_CT10_Zmumu_Pt70_140_BFilter,Z+jetsBFilter,mumu
361402,Background,11.621,0.610026,0.9013,Sherpa_CT10_Zmumu_Pt140_280_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361403,Background,11.623,0.241249,0.9013,Sherpa_CT10_Zmumu_Pt140_280_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361404,Background,11.675,0.148024,0.9013,Sherpa_CT10_Zmumu_Pt140_280_BFilter,Z+jetsBFilter,mumu
361405,Background,0.86315,0.580841,0.9013,Sherpa_CT10_Zmumu_Pt280_500_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361406,Background,0.86721,0.272103,0.9013,Sherpa_CT10_Zmumu_Pt280_500_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361407,Background,0.86299,0.163024,0.9013,Sherpa_CT10_Zmumu_Pt280_500_BFilter,Z+jetsBFilter,mumu
361408,Background,0.054434,0.566372,0.9013,Sherpa_CT10_Zmumu_Pt500_700_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361409,Background,0.056231,0.265874,0.9013,Sherpa_CT10_Zmumu_Pt500_700_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361410,Background,0.054956,0.176439,0.9013,Sherpa_CT10_Zmumu_Pt500_700_BFilter,Z+jetsBFilter,mumu
361411,Background,0.0084073,0.561305,0.9013,Sherpa_CT10_Zmumu_Pt700_1000_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361412,Background,0.0098594,0.288730,0.9013,Sherpa_CT10_Zmumu_Pt700_1000_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361413,Background,0.010204,0.178631,0.9013,Sherpa_CT10_Zmumu_Pt700_1000_BFilter,Z+jetsBFilter,mumu
361414,Background,0.0012484,0.549132,0.9013,Sherpa_CT10_Zmumu_Pt1000_2000_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361415,Background,0.0013946,0.282508,0.9013,Sherpa_CT10_Zmumu_Pt1000_2000_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361416,Background,0.0014081,0.198009,0.9013,Sherpa_CT10_Zmumu_Pt1000_2000_BFilter,Z+jetsBFilter,mumu
361417,Background,6.6745e-06,0.597261,0.9013,Sherpa_CT10_Zmumu_Pt2000_E_CMS_CVetoBVeto,Z+jetsCVetoBVeto,mumu
361418,Background,6.7807e-06,0.325784,0.9013,Sherpa_CT10_Zmumu_Pt2000_E_CMS_CFilterBVeto,Z+jetsCFilterBVeto,mumu
361419,Background,1.2968e-05,0.246649,0.9013,Sherpa_CT10_Zmumu_Pt2000_E_CMS_BFilter,Z+jetsBFilter,mumu
361420,Background,2196.5,0.778140,0.9013,Sherpa_CT10_Ztautau_Pt0_70_CVetoBVeto,Z+jetsCVetoBVeto,tautau
361421,Background,2204.1,0.142335,0.9013,Sherpa_CT10_Ztautau_Pt0_70_CFilterBVeto,Z+jetsCFilterBVeto,tautau
361422,Background,2205.1,0.079215,0.9013,Sherpa_CT10_Ztautau_Pt0_70_BFilter,Z+jetsBFilter,tautau
361423,Background,76.322,0.647945,0.9013,Sherpa_CT10_Ztautau_Pt70_140_CVetoBVeto,Z+jetsCVetoBVeto,tautau
361424,Background,76.004,0.222003,0.9013,Sherpa_CT10_Ztautau_Pt70_140_CFilterBVeto,Z+jetsCFilterBVeto,tautau
361425,Background,76.369,0.131225,0.9013,Sherpa_CT10_Ztautau_Pt70_140_BFilter,Z+jetsBFilter,tautau
361426,Background,11.569,0.614503,0.9013,Sherpa_CT10_Ztautau_Pt140_280_CVetoBVeto,Z+jetsCVetoBVeto,tautau
